"","x"
"1"," experience working collaborative environments able work project managers well business owners will also participate member iterative development team software developers qa testers design implementation integration testing successful deployment software development skills expert knowledge html css javascript including jquery expert knowledge cross browser compatibility across multiple devices experience knowledge mobile development web ios ability write semantic maintainable code performance mind ability translate mockups functional prototypes finished products design skills expert knowledge user experience best practices knowledge image formats optimization web experience using adobe creative suite products ability design mockups using code creative tools ability maintain branding consistency across website ability review customer feedback research design ux solutions online portfolio work required professional skills education bs ms computer science graphics design interaction design years equivalent professional experience desire work agile environment collaborate team desire continually research learn new techniques skills ability keep work files organized easy collaboration ability manage time multitask assignments preferred experience knowledge jstl working java server pages experience using eclipsebased code editors rad experience writing html customer facing emails experience working related field years experience agile scrum methodologies experience working user profiles personas scenarios user testing comfortable team brainstorming wire framing exercises critics variety team members stakeholders "
"2","dillards currently seeking entrylevel usability analyst join thriving user experience ux team dillards department usability analyst will work ux lead plan implement analyze results usability studies well support project teams providing usability design guidance daily basis roles responsibilities will include attending various business user meetings multiple projects collaboratively planning usability testing sessions analyzing artifacts audio video etc brainstorming mocking design variations presenting usability testing results stakeholders furthermore usability analyst will opportunity shape role ux team grows matures basic qualifications bachelors degree human factors similar field experience creating optimizing process flow diagrams ability quickly assimilate information transform complex problems simple solutions outstanding oral written presentation skills willingness standup end users even unpopular proficiency word excel powerpoint visio selfmotivated able juggle numerous fast paced projects willing work agile development teams preferred qualifications masters degree human factors similar field experience using wire framing tools eg balsamiq experience using prototyping tools eg justinmind axure sketchflowj experience mobile design familiarity morae required knowledge experience application interaction design principles application process design improvement strategies usability engineering methods including limited usability testing expert evaluations interviews focus groups surveying "
"3"," ideal candidate position must thorough grounding information architect interactive design must able create produce refine brilliant ideas able communicate ideas clearly wide varied audience master solving complex problems turning compelling user experience team oriented collaborative work approach persuasive communication skills can communicate ideas concepts clearly concisely experience facilitating brainstorming sessions getting consensus among large diverse group stakeholders can convert ideas quickly well annotated artifacts master multitasker can manage multiple large projects simultaneously grace good humor primary responsibilities provide leadership management direction ux research architecture team supporting staples digital properties globally influence strategic partners business using outcomes user research projects identify opportunities positively enhance customer experience champion integration usability processes business research design processes throughout company set user experience research information architecture strategy staples customer facing online properties globally oversee user research projects initiatives business units priority projects support overall corporate objectives conceive design implement user experience research globally focus strategic areas affecting corporation interview customers aggregate research present senior executives recommendations changes based user insights drive integration user research processes business research design processes throughout company improve outcomes processes differentiate conceive efficiencies disseminate implement efficiencies across group qualifications basic years experience working user experience user centered design least years managing directing teams strong background ecommerce web based application design required masters degree preferred years information architectureinteraction design experience highly preferred thorough understanding usability principles experience techniques focus groups online surveys usability testing contextual inquiry task analysis methods evaluating interaction design experience leading directing user experience teams managing internal contract employees experience working multi language web platforms bilingual web sites experience leading directing information architecture design usability large scale internal facing system applications retail pointofsale pos crm demonstrated experience developing large scale holistic systems encompass interact aspects business activities rules training erp logistics crm order management etc experience understanding product development processes product design workflow systems manage reduce time market strong technical skills versed coding languages html javascript ability design implement usability labs maintenance "
"4","lmd wwwlmdagencycom fullservice marketing design agency strong web team seeks drupal frontend developer developer will work lmds team designers developers exciting web projects responsibilities include custom theming website development troubleshooting existing client sites contributing ideas efforts toward development projects ideal candidate enjoys working creative challenging fastpaced team environment required skills mastery javascript html css ability efficiently implement designs photoshop files drupal themes least two years experience drupal frontend development demonstrated experience implementing responsive website designs mastery drupal omega familiarity omega demonstrated experience implementing interactive websites nonflash comfortable drupal module installation configuration ability demonstrate code experience additional languagescmses plus"
"5"," user experience architect will part team responsible consulting internalexternal clients business goals proposing user experience solutions strategies meet end user business needs role will key developing organization site content functionality use cases personas wireframes identifiable consistent nomenclaturelabeling navigation systems search interfaces ecommerce interfaces will collaborate design development teams ensure proper translation overall strategyvision developed deployed person will report manger user experience will assist defining ux standards developing ux solutions business projects including recommendations tools systems user experience process governance improvement management designs pattern development standardization navigation search standards implementation controlled vocabulary system development personas scenario use case development standardization prototypes sitemaps wireframes browser interaction design standards ability participate discovery sessions ux research including stakeholder sme customer interviews along usability testing fuel innovation application strategic approach will required role will also require ability educate internal teams throughout business best practicesstandards ability effectively drive integration recommendations required qualifications functional skills participate creative concept development including limited discovery sessions user profilespersonas user scenarios organizational models task models features list participate project definition activities including business requirement gathering competitive analysisassessment secondary research voice customer sessions user testing user surveying ability work within cross functional team content specialists digital designers strategists developed highly optimized user experiences across digital channels including limited o websites microsites intranets mobile websites mobile applications email online advertising strong understanding communication interaction motion design along aligns web technologies various delivery channels"
"6","summary ebusiness technology seeks ui web developer full life cycle application development skills support efforts related development support enterprise websites web applications ebusiness technology responsible development support web applications services used multiple lines business across corporation wwwtravelerscom agenthq mytravelers role will responsible developing maintaining webbased mobile applications web sites using modern ui practices specific required skill sets include semantic html css javascript candidate strong grasp developing cross browser compatible web sites familiar various forms web standards compliance wc wcag candidate also familiar progressive enhancement responsive design techniques primary focus position will clientside application development experience working bridge gaps server side developers preferred primary duties responsibilities transforms business specifications cost effective information systems applications resource plans prioritizes work within established budget objectives provides project managersupervisor timely accurate informationregarding performance assigned projectss builds leverages effective alliances across technical business community ensuring best utilization resources technical knowledge master level knowledge multiple programming disciplines thorough understanding business assigned projects supporting uses understanding business systems environment develop appropriate timely solutions daily issues conceptual knowledge varying technologies ability make decisions based knowledge business knowledge partnership creates atmosphere business partners issues dealt professionally timely manner suggests solutions make sense optimize value assigned projects communicates openly effectively manner consistent audience recognizes importance superior quality providing competitive edge ensures reports precise timely accurate problem solving decision making demonstrates sound analytic diagnostic skills dealing issues loosely defined information available must manipulated decisions made able follow direct action implement intended results breaks problem manageable pieces implement intended results breaks problem manageable pieces implements effective timely solutions openly directly confronts conflict resolved team orientation builds relationships peers departments achieve objectives work one team secure necessary resources personal control balances team individual responsibilities exhibits objectivity openness others views gives welcomes feedback puts success team interest leadership supports distinct business unit several smaller functions responsibilities assigned latitude setting priorities decision making using established policies procedures results reviewed next level manager clarification direction proceeding planning project management works project managermanager identifying project tasks important establishes clear priorities understands larger picture anticipates effectively responds changes workload resources financial awareness understands input budget process shares responsibility cost effective expense control assigned projects responsible important confidential information requirements candidate strong grasp developing cross browser compatible web sites familiar various forms web standards compliance prior work major coms preferred candidate experience focused css javascript html development role experience using javascript libraries frameworks backbone angular ember etc experience single page application design experience server side web development languageenvironment experience source code repository subversion preferred code management solution knowledge experience object oriented design principles practices excellent verbal written communication skills ability work effectively highly collaborative team environment strong technical analysis debugging problem resolution skills ability independently keep abreast new technology ability willingness quickly learn new applications technologies ability handle multiple priorities time ability work pressure preferred skills bs computer science mis comparable job experience experience mobile web development experience web services exposure coding apis understanding service oriented architecture"
"7"," usability specialist guides user interface design activities translates business requirements structured system design using appropriate design methodologies close cooperation business analysts business customers employs standard usability principles design development phase user interface works closely graphic designers determine layout interface ensures interface design consistent principles quality usability design measures ease use interfaces well interfaces meet business goals identifies critical usability considerations contributes user interface design strategies methodologies usability specialist will provide technical leadership will provide positive influence across multiple projects implement advocate user centered design will include performing following tasks duties develop wireframes visual prototypes based upon user business requirements review evaluate test development production interfaces ease use comprehension navigation usability principles design develop user tasks use conduct usability tests create recommendations improve interfaces perform heuristic reviews interfaces create recommendations improvement skills required must least years experience minimum years experience formal usability specialist creating user centered application design via wireframe specifications usability evaluations years experience creating high low fidelity prototypes years experience conducting usability tests experience focus group facilitation must strong analytic problem solving troubleshooting skills able quickly learn new technology areas provide implementation framework development teams must excellent communication skills great team player able work distributed global teams different technical backgrounds ability explain advocate usability user centered design within organization ability work difficult customers stressful situations applicants demonstrate passion usability familiar multiple authorsprinciples subject experience required must least years experience minimum years experience formal usability specialist creating user centered application design via wireframe specifications usability evaluations years experience creating high low fidelity prototypes years experience conducting usability tests experience focus group facilitation must strong analytic problem solving troubleshooting skills able quickly learn new technology areas provide implementation framework development teams must excellent communication skills great team player able work distributed global teams different technical backgrounds ability explain advocate usability user centered design within organization ability work difficult customers stressful situations applicants demonstrate passion usability familiar multiple authorsprinciples subject experience preferred irise expertise familiarity project plans experience working part global team looking degreed usability specialist masters degree preferred formal usability experience looking web designersdevelopers applied usability part web design work education required human computer interaction cognitive psychology human factorsergonomics "
"8"," software development user experience designer responsible supporting product development team visual aesthetics user experience web applications websites mobile applications graphics items also responsible translating complex design requirements clear user friendly online experiences strengthen extend established brand additionally position will support product development team internal marketing presentation educational efforts show casing demonstrating software developed team essential duties responsibilities software development visual designer will handle multiple responsibilities including limited development uiux look feel software applications developed product development department must able translate complex design requirements clear user friendly online experiences strengthen extend established brand support software development teams establishing uiux standards common branding within across applications development maintenance html application views across various web applications coordinate nextgear marketing department ensure external facing applications consistent fit overall nextgear marketing strategy branding job knowledge skills abilities must well versed html css must comfortable macbased operating systems experience preferred javascript jquery ajax web ui scripting frameworks technologies experience less coffee script plus experience preferred microsoft powerpoint apple keynote prezi experience multimedia tools plus must able translate complex design requirements clear user friendly online experiences strengthen extend established brand must possess sophisticated sense styledesign bring impeccable understanding interactive design fundamentals including type image color structure usability must highly organized extreme attention detail excellent communication skills proven ability work deadline driven multitask environment attention detail excellent organizational communication skills ability interact management levels organization strong sense urgency adaptability flexibility resourcefulness demonstrated success pressure managing multiple projects deadlines time education experience bachelors degree equivalent experience graphic design related field knowledge web technology including html css javascript knowledge corporate branding layout color theory visual design typography user experience"
"9"," user experience designer years experience please read digital agency blowing around years already profitable growing rapid rate looking someone wants join us way top need position can design code wordpress site concept completion responsive css desire keep learning html startup mentalityenergy working extremely talented group designers aid developing sometimes designing web experiences around search engine marketing strategies develop wire frames design elements search first strategies integrate back web experience"
"10","re looking perfect mix designer information architect someone enjoys making boxes arrows much polished psds ideal ll spend majority time translating highly complex technical workflows application experience users will love position requires someone enjoys iterating multiple solutions way conceptualizing sketching wire framing creating user flow diagrams successful candidate also ability interface users conduct user testing additionally candidate clean modern design style add final polish product shepherd projects across finish line information architect uiux designer will produce user flows wireframes prototypes user interface specifications final graphics projects currently information architecture rest uiux design create design principles will use designing implementing user experience associated ui framework assets enterprise level premier solution cloud initiate manage user experience research testing validate designs get customer feedback drive development communication design guidelines patterns libraries build strong internal relationships experienced engineering team produce optimal designimplementation solutions measure analyze customer feature usage identify opportunities innovate improve customer experience collaborate ux design team engineering senior leadership customers ensure overall success massive attention detail high quality standards drives success role must able shepherd project concept way implementation providing support ux deliverables ia design user flows user testing design assets along way works closely product management development teams collaborate features customer specific implementations managerial position want leader role position requires roll sleeves attitude ability work independently well ideal information architect uiux designer will years professional experience information architect prior expertise interactive design user experience demonstrated experience designing bb bc web based products web based applications mobile apps plus impressive portfolio demonstrates best past design projects including wireframes built tools axure omnigraffle balsamic bachelors degree similar experience required degree design related field plus strong user experience skill set including strategy information architecture design aesthetic ability present well meetings explain approach vision informed set core values regarding user experience technology business communication ability present eloquence concision cloud computing experience big plus "
