"","Word","Freq"
"1","design",2859
"2","experience",2481
"3","user",1598
"4","web",1054
"5","work",885
"6","skills",778
"7","team",767
"8","development",754
"9","will",710
"10","ability",707
"11","years",540
"12","business",537
"13","mobile",527
"14","interaction",521
"15","product",515
"16","strong",500
"17","designer",495
"18","knowledge",487
"19","requirements",445
"20","usability",444
"21","working",405
"22","applications",394
"23","understanding",388
"24","designs",383
"25","research",382
"26","visual",378
"27","creative",376
"28","interface",376
"29","create",363
"30","solutions",359
"31","including",341
"32","information",332
"33","new",320
"34","project",320
"35","javascript",318
"36","projects",318
"37","must",317
"38","job",312
"39","software",310
"40","css",300
"41","required",290
"42","develop",290
"43","degree",288
"44","teams",286
"45","html",285
"46","plus",280
"47","best",272
"48","wireframes",265
"49","interactive",264
"50","position",262
