"","jobTitle","location","jobUrl","description","techSkills"
"1","Technical Writer"," Phoenix, AZ ","https://job-openings.monster.com/Technical-Writer-Phoenix-AZ-US-Randstad-Professionals/22/d93de642-3f7e-4b76-bffa-702316e571b3","About the Job
        
                Randstad Professionals in conjunction with a large Banking Institution in the Phoenix, AZ, is looking for a Technical Writer, who enjoys a fast paced and friendly work environment. Duties would include the following:
Responsibilities:
Mine existing procedure content from multiple sources to extract relevant business and technical contentCreate procedures utilizing firmwide technical writing standards and standard procedure templatesPartner with the technical team to deliver final procedure content for publishing in Adobe RoboHelpQualifications:
Knowledge of financial services a plusAbility to work independently in a highly matrixed and collaborative environmentSelf-motivated and results orientatedExcellent organizational and time management skillsProved ability to deliver high quality results in a fast-paced and changing environmentStrong sense of urgency combined with time management skillsStrong writing and oral communication skillsProficient with Adobe RoboHelpProficiency in MS Office applications (MSWord, PowerPoint, and Excel)
        View more info

            View less info
                    Report this job
        ","robohelp office"
"2","Technical Writer"," Orlando, FL ","https://job-openings.monster.com/Technical-Writer-Orlando-FL-US-Randstad/22/c563ca87-dc80-4483-b473-3d746d5b5f39","About the Job
        
                A leading diversified international family entertainment and media enterprise is currently seeking a Technical Writer in the Lake Buena Vista, FL area. This is a 1-year CONTRACT position. No per diem available. Responsibilities for the Technical WriterConduct research and collect content for a specified area. Utilize available technical resources, drawings, engineering documents, field visits, etc. to write accurate, comprehensive technical manuals.Work with facility and engineering teams to facilitate, review, and approve processes.Requirements for the Technical WriterAssociate's degree and 5 years of experience in roles that required research, writing, developing templates, and working in varied platforms.Editorial Experience with MLA Format and Technical, Engineering or Instructional writing experience.BenefitsHealthcare401k
        View more info

            View less info
                    Report this job
        ","none_listed"
"3","Jr. Technical Writer"," Washington DC, DC ","https://job-openings.monster.com/Jr-Technical-Writer-Washington-DC-DC-US-Horizontal-Integration/21/b0c60913-0484-4a48-87ea-020510cde521","non-monster-url","none_listed"
"4","Technical Writer"," Andover, MA ","https://job-openings.monster.com/Technical-Writer-Andover-MA-US-Randstad-Life-Sciences/22/714fdd99-609c-47b1-a128-bcf09223f795","About the Job
        
                Chat with me now! - https://flashrecruit.com/jobs/296317
Job Title:  Technical Writer II / QC Technical Writer
Job Summary
This role will provide non-testing support to the cGMP QC Analytical department for technology transfer activities.This scope includes coordination of method transfer activity, generating transfer documents to support monoclonal antibody product transfer between the sites.The technical skills within scope will require understanding of the scientific principles of test methods, data analysis and cGMP requirement.The candidate will be responsible for facilitating tech transfer through collaboration with laboratory subject matter experts (SMEs) and analysts. Job Responsibilities
Authoring method transfer documents using document workflow, through collaboration with SMEs Supporting lab testing by reviewing data and documents for accuracy and compliance.Supporting assay troubleshooting, remediation activities and generating supporting documents.Participating in across site tech transfer meeting and tracking the project timelineSupporting sample/resource request and coordinating sample shipment and documentation Communicating with receiving laboratory and supporting gap assessment, sample request and queriesThis position will report to SME/Sr ScientistPrimary groups this position will interact with are the QC manager, responsible QC analysts from transferring and receiving laboratoriesReceiving laboratory is in ChinaEducation & Qualidifications
A MS with or BS degree in biology, chemistry, or related technical discipline A minimum 2 years of pharmaceutical/biopharmaceutical experience PhD with or without experience will be consideredStrong technical writing skills including validation and transfer support documents Knowledge of the method transfer regulatory guidelines including ICHQ2 and USP
        View more info

            View less info
                    Report this job
        ","flash"
"5","SCA - TECHNICAL WRITER III"," Lexington, KY ","https://job-openings.monster.com/SCA-TECHNICAL-WRITER-III-Lexington-KY-US-CTG/11/191651595","About the Job
        
                Computer Task Group is seeking a Technical Writer with Secret Clearance to work a one year contract in Lexington, KY.  Description Writes, rewrites and/or edits technical documents such as technical procedure manuals, user manuals, programming manuals, service manuals, operational specifications, and related technical publications to communicate clearly and effectively technical specifications and instructions to a wide range of audiences. Acquires subject knowledge by interviewing product developers, observing performance of production methods, referring to technical specifications, blueprints, engineering illustrations, and trade journals. Oversees preparation of illustrative materials, selecting drawings, sketches, diagrams and charts. Conducts quality review of materials.Skill/Experience/Education Mandatory: C130J familiarity, Reading Engineering drawings, Familiarity with aviation TCTO'sDesired: Corel software experience, CAD software experience (CATIA, Solidworks, autocad)     Please apply below  CTG is the most reliable IT services provider, built on 50 years of meeting our commitments to make technology work for clients and deliver real business value. CTG provides industry-specific IT strategy, services, and solutions that address the business needs and staffing challenges of clients in high-growth industries, including major technology companies, large corporations, and government entities located in North America and Western Europe.    CTG's greatest asset is its people, and as such we are committed to providing employees programs and processes to support their performance, hone their skills, and advance in their careers. This commitment is reflected by CTG being named a Best Places to Work Company by Modern Healthcare (since 2013) in North America, and a Best Places to Work Company in the United Kingdom (2013), Belgium (since 2007), and Luxembourg (since 2011).    CTG will consider for employment all qualified applicants including those with criminal histories in a manner consistent with the requirements of all applicable local, state, and federal laws. CTG is an Equal Opportunity/Affirmative Action Employer and strong advocate of workforce diversity. Minority/Female/Sexual Orientation/Gender Identity/Disability/Veteran.  
            
        View more info

            View less info
                    Report this job
        ","none_listed"
"6","Technical Editor/Writer Lead"," Norfolk, VA ","https://job-openings.monster.com/Technical-Editor-Writer-Lead-Norfolk-VA-US-Alion-Science-Technology/21/e55b8b99-0774-4cc2-a729-ce8811b98e91","bad_url","none_listed"
"7","Technical Writer, Staff"," Corvallis, OR ","https://job-openings.monster.com/Technical-Writer-Staff-Corvallis-OR-US-Fiserv/21/b546b33c-8d3e-4958-ac11-41742723f2ce","non-monster-url","none_listed"
"8","Technical Writer"," Menlo Park, CA ","https://job-openings.monster.com/Technical-Writer-Menlo-Park-CA-US-Collabera/11/191378843","About the Job
        
                  Job Title:             Technical WriterJob Location:     Menlo Park, CAJob Duration:     12 months Duties: Would you like to work with one of most respected open source companies in the world? We are looking for a contractor to help provide high-quality user documentation for some of the projects in our portfolio. You would be responsible for helping to create the public facing documentation for various Client's open source projects, including, but not limited to, feature documentation, screenshots and video. Internal documentation for Client's-only features may be required as well. Your work may be a continuation of documentation already started, a revamp of existing documentation or brand new documentation.Skills: (1) Markdown (other formats a plus) (2) Some open source experience (particularly using GitHub and pull requests) (3) Familiar with editors such as Nuclide, vim, emacs (4) Able to take an existing or new project, understand its scope and direction and use discretion to finish the project in a timely fashion, with some supervision. (5) Ability to understand basic code structure. (6) Mac OS X, Linux a plus. Windows is ok in lieu of Mac OS X.Required Skills:•	Documentation•	LINUX•	Mac•	Mac OSCategory:ITcode:newJob Requirements  Markdown, Linux, Mac, Mac OS, OS X, Windows 98
            
        View more info

            View less info
                    Report this job
        ","visio"
"9","Technical Writer"," Huntsville, AL ","https://job-openings.monster.com/Technical-Writer-Huntsville-AL-US-Butler-Aerospace-Defense/11/191039175","About the Job
        
                Description:Writes, rewrites and edits technical documents such as Illustrated Parts Breakdown / RPSTL, technical publications to communicate clearly and effectively technical specifications. Acquires subject knowledge by interviewing product developers, observing performance of production methods, referring to technical specifications, blueprints, engineering illustrations, and trade journals. Oversees preparation of illustrative materials, selecting drawings, sketches, diagrams and charts. Conducts quality review of materials. 			Requirements: 			Ability to oversee multiple projects of varied size and scope. Effective communications skills (both written and oral). Able to think and operate independently and possess strong organizational skills. 			Candidate must be knowledgeable of US Army UH60 A/L/M. Knowledge of MIL-STDs 40051B, 40051C and 40051-1C. 			Desired skills: 			Source matter expert on UH/HH-60 Blackhawk. Working knowledge of editing XML. Experience with MIL-STDs 40051B, 40051C and 40051-1C. 			Typical Minimums: 			Bachelors degree from an accredited college in a related discipline, or equivalent experience/combined education, with 6 years of professional experience; or 4 years of professional experience with a related Masters degree. Considered career, or journey, level.Shift 			1st
            
        View more info

            View less info
                    Report this job
        ","none_listed"
"10","Technical Writer"," Mountain View, CA ","https://job-openings.monster.com/Technical-Writer-Mountain-View-CA-US/11/190584282","About the Job
        
                Position:  Manger Technical Writing and Training Location:  Mountain View, CAEmployment: Fulltime/Permanent This role is responsible for managing and executing all the tasks related to the creation of technical publications and product description documentation for sales and marketing for all the product lines and solutions offered by the company.  In addition to management, this role also requires hands on work for creating documentation from scratch.  In this role you will work closely with product management, engineering, finance and operations team to develop the product and release documents. This role is also responsible for creating and managing training collateral for the company that is used for both internal and external training. In addition to developing and managing the training collateral this individual will also be responsible for managing all aspects of onsite customer training events.  Overview of Responsibilities ·         Development and management of product release documentation and user guides.·         Development and management of product operational manuals. ·         Development and management of product description documentation for Marketing and Sales. ·         Develop Standardized templates for technical solution proposal documentation for Sales. ·         Development of online help for an Enterprise software application. ·         Determine and apply appropriate levels of editorial treatment to project materials. ·         Task-flow and wireframe design documentation for end-user applications.·         Develop or maintain templates for documents. ·         Review, Edit and Create product training content such as power point presentations and technical reference documentation.·         Project management all aspects of customer training events. Requirements and Qualifications At least 8 years of experience in creating technical      documentation for enterprise applications. ·         Proven experience in technical writing and editing skills. ·         Demonstrated knowledge of commonly used concepts, practices, and procedures within the field of technical writing. ·         Superior command of the English language including rules and business usage.  ·         Ability to manage changing priorities and meet aggressive deadlines. ·         Proficient computer skills, especially Microsoft Office applications and other applications such as frame maker, MadCap Flare and other common office tools.  ·         Ability to function effectively at all levels in the organization, including C Levels.  ·         Ability to maintain discretion and confidentiality ·         Bachelors Degree in English or any Technical field.·         Experience of training in marketing/business management is a plus.  
            
        View more info

            View less info
                    Report this job
        ","office"
"11","Technical Writer Senior"," Lincolnshire, IL ","https://job-openings.monster.com/Technical-Writer-Senior-Lincolnshire-IL-US-Superior-Group/11/191005346","About the Job
        
                Superior Group is looking for Technical Writer Senior for our Client located in Lincolnshire, IL. Responsible for the development of technical documentation to support software products. Designs and develops content for use in user manuals, quick start guides, installation guides and developer guides that address the needs of both internal and external users. Our mission is to establish best-in-class knowledge transfer and to contribute to overall customer satisfaction for users of our products. Develop and write technical content including descriptions, installation procedures, operating instructions, maintenance and troubleshooting information. Conduct interviews with SMEs to gather data for content. Responsible for handling multiple projects at one time in a dynamic environment and publishing deliverables in one or more formats. Follows Style Guide, Template, and Branding Guidelines to comply with department standards. Required Skills / Qualifications:Bachelor's degree Minimum of 5 years’ experience as Technical Writer Senior.Preferred Skills / Qualifications:Good writing skills with the ability to clearly translate technical information into easily used and understandable text and illustrations. Excellent interpersonal skills necessary to communicate with engineering, marketing, SMEs and external team members to obtain the information necessary to carry out assignments. Knowledge of electronic publishing including Frame Maker, Acrobat and graphic applications. Additional Information:Upon offer of employment, the individual will be subject to a background check and a drug screen.Go Beyond. .EEO Employer - Minorities / Females / Disabled / Veterans / Sexual Orientation / Gender Identity.
            
        View more info

            View less info
                    Report this job
        ","acrobat"
"12","Instructional Designer/Technical Writer"," Boulder, CO ","https://job-openings.monster.com/Instructional-Designer-Technical-Writer-Boulder-CO-US-LRS/21/cb73a3a5-b69e-441d-9b92-9bc50685e618","non-monster-url","none_listed"
