105,"Technical Writer / Proposal Manager (429-688)
• Contribute to proposal efforts by writing clear, persuasive, and compliant proposal sections to respond to request for proposals and / or provide clients with information regarding AC's managerial and technical capabilities.
• Extrapolate information from existing material as well as collect technical and methodology information and incorporate that knowledge into producing proposals.
• Work with consultants, analysts, and subject matter experts to produce content for proposal sections.
• Execute win strategies and solutions by developing compliant, responsive, and competitive business proposals.
• Lead proposal teams throughout the process of proposal development, including corporate staff, operational staff, proposal staff of subcontractors, and consultants.
• Estimate the personnel and resources required to complete the proposal development phase.
• Convene proposal kickoff meeting and frequent strategy and check-in sessions as appropriate to the size and complexity of the effort. Convene and conduct reviews of proposal drafts.
• Lead team through development of win themes, discriminators, customer hot button issues, SWOT analysis (strengths-weaknesses-opportunities-threats), risk identification and mitigation.
• Enforce editorial standards; provide rewrite/editing/proofreading support as needed.
• Assist with distributing RFP and associated materials to proposal team and ensuring that all updates/amendments/modifications are received and distributed in a timely manner, if necessary.
• Lead storyboard efforts as appropriate.
• Manage proposal team resources (subject matter experts, etc.) to ensure compliance with draft deadlines.
• Provide/ensure accurate email notifications and updates to proposal team members.
• Manage the technical volumes/sections of the proposal, including (but not necessarily limited to) technical approach, management plan, personnel/staffing approach, past performance, and corporate experience. Assist as needed in activities related to cost or contract documentation volumes (e.g., ensuring technical approach and labor costing are in synch).
• Analyze the RFP requirements; develop compliance matrix, proposal outlines/templates,  cronym/usage lists, etc., as appropriate. 
• Draft, and update as appropriate, the Proposal Management Plan.
• Oversee version control of all proposal related resources.
• Oversee final production; review final/deliverable documents.
• Develop/update business development related Standard Operating Procedures, style and usage guides, forms and templates as needed.
• Provide editorial assistance with customer deliverables and corporate documents (press releases, employee newsletter, etc.) as needed and as time permits.
Required Skills
• Demonstrated experience with contributing to and / or leading Federal government
• IT proposals
• Demonstrated ability to think out of the box
• Understanding of networking, IT O&M, help desk / service desk, information security and PMO concepts.
• Demonstrated success in developing winning proposals (e.g., a positive win ratio)
• Flexibility during the proposal process to work as needed to meet deadlines
Experience Required
• Not less than 8 years progressively more responsible experience (can include above 5 years' proposal management) in an office setting related to technical writing, editing, desktop publishing, or related discipline.
• Ideally, 5 or more years as proposal manager in a fast paced environment and responsible for developing complex proposals for contracts worth $50 million or more.
• Management of multi-corporate-partner proposal teams of a dozen or more individuals.
"
614,"Our Philadelphia, PA based client is actively seeking an RFP Associate. Ideal candidates will have 1 year of prior related experience working with RFP’s. In this
role you will be handling RFP’s, RFI’s, and assisting with client questionnaires. This is an extremely visible role with excellent room for growth.
Responsibilities:
- Prepare RFP’s, RFI’s, and potential client questionnaires
- Perform research and due diligence for the completion of all RFP’s
- Collaborate with team members on monthly and quarterly client requests
- Document and maintain all responses for completed client questionnaires
Requirements:
- Bachelor’s Degree required
- 1 year of RFP experience
- Strong Microsoft office skills
- Excellent organizational and time management skills"
665,"Position Description: As a senior level proposals specialist matrixed from the OCFO Field Operations Unit to the Life
Sciences Division’s Biosciences Proposal Development Center (BPDC), working under limited direction and reporting
directly to its lead Principal Resource Analyst, independently plan and prepare moderately to highly complex grant/funding
proposals for the U.S. Department of Energy (DOE) (e.g., Office of Science) and other non-DOE sponsor (e.g., NIH,
NASA, DOD) research funding. Primary customers will be Principal Investigators (PIs) and researchers in the Life Sciences and Genomics Divisions. Based on the volume of work and proposal funding cycles of DOE and non-DOE sponsors, this
position will periodically require overtime during grant submission deadlines.
Essential Elements of the Position:
Pre-Award Proposal Development Activities
• Working in a fast-paced, high-volume, service-oriented setting, independently provide comprehensive and professional
contract and grant preparation support to assigned principal investigators and research staff.
• Plan, prepare and coordinate submission of moderately to highly complex proposals, including pre-proposals, proposals,
renewals, and continuations, for DOE and other non-DOE sponsor research funding, with primary responsibility for all
aspects of the proposal except technical research sections.
• Prepare complex, fully-burdened budgets in multiple formats as defined by agency and individual proposal submission
guidelines. Forecast resource requirements (i.e., labor and procurements), costs and spending patterns based on
proposed work scope, prior similar work and timeline, and advise PI regarding appropriate alternatives and alterations to
budgets.
• Review technical sections to ensure consistency between all sections of the proposal, compliance with funding agency
guidelines, and compliance with DOE and University of California policies, procedures and guidelines. Offer advice and
guidance to investigators where necessary.
• Oversee pre-award process from submission through negotiation of final award collaboration with the OCFO Office of
Sponsored Projects and Industry Partnerships (OSPIP). Monitor status of proposal or award to ensure timely action;
resolve issues of concern as necessary. Evaluate and interpret individual proposal guidelines which are diverse and
moderately to highly complex in scope and nature, and provide guidance to principal investigators and research staff.
• Independently interact on a regular basis with a wide variety of peers, customers and stakeholders, such as other
division resource analysts, HR staff, OSPIP staff, RIIO and Human and Animal Research Regulatory Committee (HARC)
staff and representatives of sponsoring agencies, both programmatic and administrative.
• Work closely and collaboratively as part of the Life Sciences Proposals team, providing consultative and advisory
services as well as sharing information with other Proposal Specialists.
• Proactively seek methods to increase efficiency, effectiveness, and customer satisfaction.
• As required, perform a wide variety of moderately complex ad hoc analyses and/or special projects relative to proposal
preparation.
• Participate in ad hoc cross-functional LSD, OCFO and/or Lab-wide work groups or committees. Position Qualifications
Essential: Bachelor's degree in business administration, a scientific discipline or a related field of study and/or five years
minimum of relevant experience with substantial demonstrated achievement in contract and grant pre-award
administration, proposal preparation and submission involving the DOE, NIH, NASA, DoD, and other federal and
non-federal funding agencies. Demonstrated knowledge of the principles of research administration and commitment to
the profession. Experience in interpreting proposal submission requirements and procedures for a wide variety of federal,
state, and private sources of funding, with substantial knowledge of NIH grant application policies and procedures.
Excellent analytical, organizational, and communication skills both oral and written. Substantial experience and
demonstrated competence with MSWord and Excel, as well as electronic proposal submission systems (e.g., Cayuse,
Click/Huron, Proposal Central). Strong customer service skills and demonstrated ability to interact effectively with
scientific, management, technical and other staff from R&D, academic, public and private sector environments. Ability to
work independently, take initiative, research and resolve problems, manage multiple high priority assignments
simultaneously and under pressure and time constraints, and follow through on assignments with limited direction. Ability
to work independently and as a team member in a complex, multi-deadline work environment.
Marginal: Master's degree or equivalent in business administration or a scientific discipline. Prior UC or Lab experience
with policies, procedures and practices related to contracts and grants especially as these relate to biosciences research.
Experience interacting with research administrators and program officials at collaborating institutions and funding
agencies. Experience with post-award administration including budget planning, monitoring, and reporting; demonstrated
knowledge of federal cost accounting standards. Experience using PeopleSoft Grants Management application (referred to
as RAPID at LBNL).
If This Position Is Filled At The Principal (F25.4) Level: The candidate will be working independently and working/leading
others on a wider range, more highly advanced/complex proposals under minimal, consultative supervision and technical
direction. The candidate will also possess a minimum of six to eight years of relevant professional experience, with a
strong preference for the possession of a Master’s Degree in either business administration or a relevant scientific
discipline. Salary Levels:
At Senior Proposals Specialist (F25.3) Classification Level: $71,088/year (minimum) to $97,728/year (maximum).
At Principal Proposals Specialist (F25.4) Classification Level: $84,384/year (minimum) to $116,016/year (maximum)."
912,"Responsibilities Include:
Handling Grants; preparation of initial budget; ensuring all budget line items are properly coded; properly coding expenses items; compile all back-up/documentation for expenses for reporting/audit purposes; prepare all reports and backup as required for Grantee and audit purposes.

Requirements:
-Proficiency with all MS office suite applications and accounting background
-2+ years experience working with grants a real plus
-Ability to read and disseminate information and milestones for grants
-Ability to look at previous year trending information to compile
budget and required information
"
926,"""Grant Writer:""
""Preparation of initial budget""
""Ensuring all budget line items are properly coded to the correct""
""GL Accounts""
""Properly coding expenses to correct line item Compile all back-up/documentation for expenses for reporting/audit purposes""
""Ability to read and disseminate information and managing all milestones for Grants.""
""Must be able to communicate any changes from one GL to another GL once approved by Finance Director""
""All candidates must have:""
""2+ years experience working with Grants - non profit experience""
""preferred""
""Strong attention to detail with accuracy""
""Accounting background required - track all transactions in Excel""
""Excellent communication skills, written and verbal""
""Proficiency with all MS Office Suite Applications""
""Ability to work in a team environment or independently."""
909,"Position Overview: The Development Manager/ Grant Writer will focus on maintaining and growing funding opportunities for the council with a
focus on grants and foundation support.
Duties and Responsibilities:
• Manage fund development plans to write $2,500,000 in grants per fiscal year.
• Research granting sources and continuously seek new grant opportunities.
• Successfully write and procure funding to support grant funding goal in all program areas in accordance with overall fund development
• plan.
• Manage grant requests and proposals in a timely manner. Follow through, dependability and accuracy are required.
• Provide and maintain a current grant schedule with grant details.
• Maintain appropriate grant records, both hard copy and electronic files.
• Collaborate with various program teams to provide oversight that all grant requirements are being met.
• Maintain awareness of GSMT Programs and funding initiatives.
• Collaborate with Communications Department to ensure donors receive proper recognition for grants made to the council if applicable.
• Coordinate and integrate with other staff departments, especially membership, programs and finance, to ensure successful coordination and implementation of grant proposals. 
• 
• Support Development Staff with events, email blasts, letters, annual report and other campaigns.
• Assist with the overall planning and administration of fundraising related to all sources of contributed income.
• Skills/Qualifications:
• Bachelor’s degree or experience equivalent and three to five years proven track record in fund raising.
• Demonstrated outstanding business writing, persuasive writing communications and organizational skills.
• Strong interpersonal skills.
• Ability to produce reports on a timely basis.
• Proficient in Microsoft Office Suite
• Prefer knowledge of Raiser’s Edge.
• Ability to adhere to strict deadlines.
• Organized, independent thinker and self-starter.
• Strong written and oral communication skills.
• Ability to accommodate a flexible work schedule, including some evening and weekend work.
"
1028,"I am  looking for  a proposal writer with no  more than  1-3 years of experience that can  manage an  online
proposal library, create SoW's, design templates, and can  do  some technical writing all at  the  same time.  I
am  looking to  move quickly.  Thanks!

Job Purpose:
Prepares  proposals  by determining  concept;  gathering  and formatting  information;  writing  drafts;  obtaining  approvals.

Duties:
* Determines  proposal  concept  by identifying  and clarifying  opportunities  and needs;  studying  requests  for proposal
(RFPs);  attending  strategy  meetings.

* Meets proposal  deadline  by establishing  priorities  and target dates for information  gathering,  writing,  review,  and approval;  entering  and monitoring  tracking  data; coordinating  requirements  with contributors;  contributing  proposal status information  to review meetings;  transmitting  proposals.

* Gathers  proposal  information  by identifying  sources  of information;  coordinating  submissions  and collections;
identifying  and communicating risks associated  with proposals.

* Develops  proposal  by assembling  information  including  project  nature,  objectives/outcomes/deliverables, implementation, methods,  timetable,  staffing,  budget,  standards  of performance,  and evaluation;  writing,  revising,  and editing  drafts including  executive  summaries,  conclusions,  and organization  credentials.

* Prepares  presentation  by evaluating  text, graphics,  and binding;  coordinating  printing.

* Maintains  quality  results  by using templates;  following  proposal-writing standards  including  readability,  consistency, and tone; maintaining  proposal  support  databases.

* Obtains  approvals  by reviewing  proposal  with key providers  and project  managers.

* Improves  proposal-writing results by evaluating  and re-designing  processes,  approach,  coordination,  and boilerplate;
implementing  changes.
• Updates  job knowledge  by participating  in educational  opportunities;  maintaining  personal  networks.
* Accomplishes organization goals by accepting ownership for accomplishing new and different requests; exploring
opportunities to add value to job accomplishments.
"
1032,"Stivers is working with a Delaware County Financial Institution to fill an opening for a Proposal Specialist. The proposal specialist will beresponsible for developing financial proposals, gathering the pertinent data, analyzing reports and assist in the implementation. The idealcandidate will have 3+ years of related experience, strong project management skills, and excellent communication skills. Many of the reportswill be created in MS Excel and include formulas and graphing.  Requirements:
BA/BS Degree in Finance

Advanced computer skills in Word, Excel and Adobe
3+ Years of Financial Proposal experience
"
901,"Under direction of the Grants Manager, the Grant Proposal Writer is responsible to research grant opportunities, write funding applications, and coordinate and lead the activities of a grant application; and to assist with the Quality, Evaluation and Administrative data for the Ryan White Title IV program. 

Requires a Bachelors Degree or an equivalent combination of training and progressively responsible experience that will result in the required specialized knowledge and abilities to perform the assigned work. Master's degree is preferred.  Must have at least five to six (5-6) years ofexperience specific to proposal development.  Must have knowledge ofgrant application process and writing applications as well as grantprograms available to health care organizations, and of health care issuesand delivery systems. Requires excellent organizational and interpersonal skills, excellent written and oral communication skills, analytical skills, andthe ability to multi-task. Must be able to take initiative and utilize innovative techniques and ingenuity in preparing grant applications and to work under pressure to meet deadlines for grant opportunities.  Requires ability to research grant opportunities available, participate as a team player to coordinate grant projects, and to develop, write and implement strategic funding plans.  Must be able to read, interpret and apply laws rules and regulations.  Must be able to plan, prioritize, and coordinate multiple projects; and posses the ability to gather, analyze and evaluate a variety of data.  Must have computer skills in software for word processing. Requires the ability to read, write and speak effectively in English"
514,"Technical/Proposal Editor
ITT Exelis is Powered By Ingenuity, which is the hallmark of our business, products and people. We provide
innovative solutions in the areas of command, control, communications, computers, intelligence, surveillance
and reconnaissance (C4ISR). Working at ITT Exelis, you will join the ranks of 20,000 employees serving our
customers around the globe. At ITT Exelis, our workplace culture encourages a spirit of adventure and
encompasses a can-do attitude. We place emphasis on building and sustaining a diverse workforce which is
inclusive of different perspectives and varied business, academic, cultural and social backgrounds.
o Edits technical documents with a focus on proposals
o Communicate via oral and written material technical specifications as captured through discussions, and
other media associated with the subject matter experts
o Acquires technical subject knowledge by interviewing developers, service providers, and other staff as
coordinated with the proposal management staff
o Acquires technical subject knowledge by observing production methods or day to day job activities of the
staff
o Acquires technical subject knowledge by referring to charts, technical material and other media as agreed
upon by SMEs or manager
o Conducts quality reviews of all materials generated
o Coordinates with technical publications, SMEs and other proposal staff to ensure that technical ideas and
thoughts are captured in the written material
o Assist in other business areas activities as required to support technical writing/editing
• Bachelor’s degree in English, journalism or communications
• Experience can be substituted for educational requirements
• Program/project management experience
Required specific experience:
• At least 10 years of directly related experience
• At least 5 years working in a proposal center and/or defense industry
Required specific knowledge:
• Aerospace and Defense market
• Proposal and project management best practices
• Business Development life-cycle Required specific skills:
• Sound proof reading
• Sound editing
• Writing skills
• Ability to write/edit to various levels of audiences
Required specific abilities:
• Ability to work well with SMEs, other authors, and staff to ensure high quality end product
• Ability to travel about 25%
Required specific tools:
• SharePoint
• Microsoft Office Suite"
