2,"The technical writer will work with government users to develop system requirements, definition, and scope for overall project planning and budgeting process for a primarily software development environment. Activities may include information gathering and planning, content specification, content development and implementation, production, and evaluation.
Specific Job Duties include (but are not limited to):
§ Document and present specifications determined with users for validation requirements.
§ Document validation maintenance
§ Document Requirements/Matrix for user interface enhancements
§ Document online help and user interface instructions via link with Google documents
§ Document and present specifications for validation maintenance and measurements
§ Present findings to users and management.
Requirements include (but are not limited to):
§ Possess the technical skills necessary to perform the tasks, including outstanding verbal and written communication skills.
§ BA degree (or equivalent) with 0 to 2 years’ experience in the field or in a related area.
§ Must be able to pass a federal government security background investigation."
3,"The Technical Writer's role is to develop written/graphical information about the organizationas computing systems that aid in their development, use, and support. Outputs will include a range of documents to be consumed by both technical and non-technical personnel across all departments. The Technical Writer will communicate directly with Subject Matter Experts and related support staff throughout the company to ensure full, accurate, and complete aspects of system solutions and artifacts have been documented in a manner in which they can be understood by all necessary parties. The Technical Writer will be part of a collaborative team that develops solutions on the fly. We fully expect that at the end of design sessions this individual will have a full understanding of the processes and solutions discussed and the capability to communicate this information. This role will also be responsible for developing proposals, management presentations and graphics for use by the company's management for use in meetings with executives, partners and vendors. This role REQUIRES experience writing technical
mortgage documentation.
- Be an active participant in white-boarding design sessions, build and package consumable documents and diagrams that can be analyzed by all project team members, including outside vendors
- Manage and Own the library of technical specifications, keeping a full archive strategy, and making sure all applicable documents are up to date and easy to find.
- Liaise with project team members to collect and interpret technical information, and organize in a way that will allow for simple management and update processes, and to validate that documentation is correct and fits into the overall architectural standards.
- Research, evaluate, and recommend new documentation tools and methods in support of documentation improvement efforts.
- Develop documentation project plans and timelines. Edit written documentation of development and other staff to create unified and consistent support documents.
Maintain currency and accuracy of all documentation.
- Establish, communicate, and maintain documentation standards, and provide training where required
- Develop presentations and graphics with input from the company's Management.
Knowledge:
- 4+ years of technical writing within the mortgage industry.
- Experience in SOA technologies.
- Knowledge of current development tools and techniques.
- Strong experience with Microsoft tools.
- Experience with workflow management, and application integration.
- Understanding and knowledge of the general software development life cycle.
Skills & Abilities:
- The ability to quickly learn about our systems and the technology we use.
- Ability to absorb and retain information quickly, specifically complex technical information.
- Demonstrated analytical skills and the ability to asess the solution on paper.
- Strong organizational skills.
- The ability to work on many different tasks and priorities, and the ability to shift priorities.
- Must have ability to work in an open team atmosphere and under tight deadlines, and have the willingness to learn and drive to succeed.
- Solid communication and presentation skills"
4,"Our client is looking for a Technical Writer that will/can:
Develop materials for maintenance, installation, and operations manuals and related technical and administrative publications.
Observe various activities to determine operating and maintenance procedures.
Interview the appropriate teams/individuals to become familiar with the relevant technologies and methods.
Review related data/documents/blueprints/sketches/etc. to better understand procedures, technologies, terminology, and other relevant details associated with the subject matter.
Select the photographs/sketches/other visual aids to help illustrate material.
Has experience with Framemaker and Microsoft Word.
Has experience in the Semiconductor Equipment industry (ideal, but not required)
Other related duties as assigned."
5,"Company engineering looking for the follwoing skills:
• EMI test plans, procedures and reports in accordance with DO-160, MIL-STD-461, etc
• Software test plans, reports and other supporting documents in accordance with DO-178, etc
• Environmental plans, procedures and reports in accordance with DO-160, MIL-STD-810, etc.
• Failure Mode, Effects & Critically Analysis (FMECA/FMEA) and reports in accordance with ARP4761 for FAA Documentation
• FAA Certification experience.  "
6,"Analyze and assess current processes and define / document improvements.
Recommend method and procedural changes.
Handle projects that encompass requirements elicitation, system / screen design, user / functional requirements documentation, test plan / scenario creation and final defect tracking.
Prepare and / or maintain functional and technical documentation pertaining to application programming.
Continuously improve analyst process and adherence.
Manage time, set priorities and perform management escalations."
7,"Kforce is seeking a strong Technical Writer for a global manufacturer with preferred prior experience creating and updating policies and documentation for audit compliance.
Responsibilities include developing documentation for an IT Operations Manual."
8,"As the Technical Writer you will play a key role in our Innovation & Solutions practice by crafting
product documentation and other materials based on the direction of our product development
scrum teams, analysis of our users, and input from other practices.
The Technical Writer will be responsible for helping us develop and evolve our documentation strategy, as well as build out and maintain our existing library of documentations - including
technical specification, release communications, user manuals, and other materials as needed. The key to the success of this position will be delivering high-quality documentation to our practices and end users, while also contributing to the our future vision regarding best practices and standards. The individual in this role will have the opportunity to gain a large breadth of knowledge by working with experts in the fields of benefits outsourcing & software development. Our Product
Development team associates feel empowered to make key decisions to continually improve our offerings and create supporting processes. 
Experience in short release cycles and Agile-Scrum methodology
Some functional knowledge in one or more of the following areas is a PLUS: Health & Welfare Administration, Pension Administration, C#, Scrum / Agile, SQL Server"
9,"Writes a variety of technical articles, reports, brochures, and/or manuals for documentation for a wide range of uses
May be responsible for coordinating the display of graphics and the production of the document 
Performs a variety of tasks
May lead and direct the work of others
Familiar with a variety of the field's concepts, practices, and procedures is desired
Must have a mix of both technical and non technical writing experience
Candidates are required to have previous banking experience (2-3 years), specifically banking operations experience
Relies on experience and judgment to plan and accomplish goals
A wide degree of creativity and latitude is expected "
10,"We are working exclusively with our client in identifying an expert in DITA and CMS for the integration of a new Content
Management System (CMS). In this role you will implement a new CMS and how the team how to utilize the new systems.

Experience Required:
5+ years’ experience as a DITA/CMS Technical Writer
Expert level of DITA experience
Proficient with Content Management Systems (CMS)
Background in medical devices, pharmaceutical or scientific experience a plus, but not required
XML & HTML experience a plus, but not required"
11,"We are looking for a career Technical Writer with a strong familiarity with documenting the activities regularly occurring within an Application Development or Software Engineering environment including any of the following: Technical Requirements, Functional Specification, Change Request Documentation, Project Management templates, and the like.
This Technical Writer will have experience interacting with Developers, Project Managers, Testers, etc to create documentation relevant to the+U19 Technical environment in which they worked."
